,word,count,word_len,new_word
1,sheffieldborn,1,13,sheffield born
6,votecatching,1,12,vote catching
8,intermediate,2,12,intermediate
11,unenforceable,2,13,unenforceable
20,keywordbased,1,12,keyword based
22,performances,1,12,performances
42,selfdeclared,1,12,self declared
54,continuation,2,12,continuation
55,innovationled,1,13,innovation led
142,downshifting,1,12,down shifting
173,dependability,1,13,dependability
205,programmable,2,12,programmable
213,contemplates,1,12,contemplates
220,hairdressing,1,12,hairdressing
279,unimaginable,2,12,unimaginable
282,quicklytaken,1,12,quickly taken
286,experimentation,2,15,experimentation
288,serialisation,1,13,serial is ation
289,microsystems,2,12,microsystems
320,billingsgate,1,12,billings gate
337,chauvinistic,1,12,chauvinistic
355,bloomingdale,2,12,blooming dale
370,rollercoaster,2,13,rollercoaster
372,sonyericsson,2,12,sony ericsson
396,predominately,2,13,predominately
406,antiamerican,2,12,anti american
423,investigated,2,12,investigated
484,declarations,1,12,declarations
514,recordholders,1,13,record holders
563,behindthescenes,2,15,behind the scenes
593,deceleration,1,12,deceleration
595,ballymenaborn,1,13,ballymena born
689,breastbaring,1,12,breast baring
707,biggestselling,2,14,biggest selling
714,redistribution,2,14,redistribution
726,accomplishment,2,14,accomplishment
729,organisations,1,13,organisations
742,missionairies,1,13,mission air ies
805,interception,1,12,interception
829,shadowcrewcom,1,13,shadow crew com
836,carderplanet,2,12,car der planet
841,colombianborn,1,13,colombian born
843,southeastern,1,12,southeastern
861,impersonator,1,12,impersonator
867,secondplaced,2,12,second placed
883,tunisianborn,1,12,tunisian born
913,dissatisfied,1,12,dissatisfied
922,protectionism,1,13,protectionism
929,backtracking,1,12,backtracking
930,tranquillity,2,12,tranquillity
941,chiropractor,1,12,chiropractor
951,cryptography,1,12,cryptography
958,euroatlantic,1,12,euro atlantic
961,transgression,1,13,transgression
973,underperform,1,12,under perform
1007,collaborator,2,12,collaborator
1010,bloodandsinew,1,13,blood and sinew
1047,conferencesm,1,12,conferences m
1067,ritesofpassage,2,14,rites of passage
1093,reintegration,1,13,reintegration
1097,stagemanaged,2,12,stage managed
1138,qualitatively,1,13,qualitatively
1151,intelligently,1,13,intelligently
1182,usregistered,1,12,us registered
1217,welshenglish,1,12,welsh english
1238,hanningfield,1,12,h anning field
1249,demonstrator,1,12,demonstrator
1280,citizenbased,1,12,citizen based
1303,singaporelisted,2,15,singapore listed
1352,actordirector,1,13,actor director
1361,semifictional,1,13,semi fictional
1383,environmentally,2,15,environmentally
1387,correctional,2,12,correctional
1425,selfdelusion,1,12,self delusion
1428,publiccompany,1,13,public company
1439,knowledgeable,1,13,knowledgeable
1486,doubleheader,1,12,doubleheader
1494,buckinghamshire,2,15,buckinghamshire
1498,precondition,2,12,precondition
1505,extortionist,1,12,extortionist
1507,civilisation,1,12,civilisation
1528,bedellsivright,2,14,be dells iv right
1626,schwarzenegger,2,14,schwarzenegger
1646,chennaibased,1,12,chennai based
1653,outofcompetition,2,16,out of competition
1667,gamesondemand,1,13,games on demand
1680,differential,2,12,differential
1695,institutional,2,13,institutional
1708,electroclash,2,12,electro clash
1810,speechwriting,2,13,speech writing
1877,selfobsessed,1,12,self obsessed
1884,racketeering,1,12,racketeering
1888,selfdiagnosis,2,13,self diagnosis
1930,preferential,1,12,preferential
1932,decisionmaker,1,13,decision maker
1933,astronomical,1,12,astronomical
1969,passtheparcel,2,13,pass the parcel
2002,revolutionised,2,14,revolutionised
2075,kimberlyclark,1,13,kimberly clark
2118,radioenabled,1,12,radio enabled
2127,confrontational,2,15,confrontational
2177,indispensable,1,13,indispensable
2199,propertybased,1,13,property based
2217,multitalented,2,13,multi talented
2226,nonperforming,1,13,non performing
2237,unforeseeable,1,13,unforeseeable
2268,understaffed,1,12,understaffed
2279,capitulation,1,12,capitulation
2331,governmentcommissioned,2,22,government commissioned
2349,embarrassment,2,13,embarrassment
2399,enlargedember,1,13,enlarged ember
2406,reproduction,1,12,reproduction
2423,admissibility,1,13,admissibility
2453,reengineered,1,12,re engineered
2552,threeandahalf,1,13,three and a half
2580,josephdesire,1,12,joseph desire
2587,irritatingly,1,12,irritatingly
2625,russianowned,1,12,russian owned
2645,enthusiastically,2,16,enthusiastically
2678,longrumoured,1,12,long rumoured
2693,swashbuckling,1,13,swashbuckling
2696,maximisation,1,12,maxim is ation
2699,heavilytipped,2,13,heavily tipped
2733,personalised,1,12,personalised
2740,redistribute,1,12,redistribute
2766,predetermine,2,12,predetermine
2797,planningshare,1,13,planning share
2812,righteousness,2,13,righteousness
2846,bandsartists,1,12,bands artists
2847,bromesberrow,1,12,brom es ber row
2853,recapitalised,1,13,re capitalised
2859,incompatibility,2,15,incompatibility
2862,dispossessed,1,12,dispossessed
2886,impersonated,1,12,impersonated
2891,interrogated,1,12,interrogated
2924,industrialist,2,13,industrialist
2936,sindelfingen,1,12,s in delf in gen
2939,vindictively,1,12,vindictively
2974,apprehension,2,12,apprehension
2975,postchristmas,2,13,post christmas
3010,autobiographical,2,16,autobiographical
3015,noncompetitive,2,14,noncompetitive
3130,mendaciously,1,12,mendacious ly
3205,recordholder,1,12,record holder
3218,irresponsibility,2,16,irresponsibility
3254,frustratingly,1,13,frustratingly
3258,instantaneous,1,13,instantaneous
3345,certification,1,13,certification
3366,practicality,1,12,practicality
3367,indiapakistan,1,13,india pakistan
3383,associations,1,12,associations
3401,propostition,1,12,pro post it ion
3415,decentralise,1,12,de central is e
3437,hrisanthakis,1,12,hr is ant hak is
3471,littlefeather,1,13,little feather
3501,astonishment,1,12,astonishment
3504,sittingbourne,1,13,sitting bourne
3542,oceanography,1,12,oceanography
3544,highlyradioactive,2,17,highly radioactive
3646,papadoyiannakis,2,15,papa do yi an nak is
3648,preparedness,1,12,preparedness
3686,operationally,1,13,operationally
3699,singersongwriter,2,16,singer songwriter
3761,seasonleading,1,13,season leading
3830,regurgitation,1,13,regurgitation
3848,indiscipline,1,12,in discipline
3866,montrealbased,1,13,montreal based
3876,governmental,2,12,governmental
3924,supercomputing,2,14,super computing
3930,antimusharraf,1,13,anti musharraf
3950,newlyappointed,2,14,newly appointed
3984,lightcoloured,1,13,light coloured
3988,bureaucratism,1,13,bureaucrat is m
4017,progovernment,1,13,pro government
4026,confectionery,2,13,confectionery
4030,braincontrol,1,12,brain control
4041,dispensation,1,12,dispensation
4078,worstaffected,2,13,worst affected
4106,philharmonic,1,12,philharmonic
4107,crossexamined,2,13,cross examined
4117,reproductive,1,12,reproductive
4134,foreknowledge,1,13,foreknowledge
4200,departmental,1,12,departmental
4229,oppositional,1,12,oppositional
