articleid,word,count,word_len,new_word
36,houstonbased,1,12,houston based
42,speechwriting,2,13,speech writing
61,unenforceable,2,13,unenforceable
62,predominately,2,13,predominately
89,infrastructure,24,14,infrastructure
135,irreversible,1,12,irreversible
190,consistently,13,12,consistently
206,depreciation,2,12,depreciation
265,wellorganised,1,13,well organised
267,coproductions,2,13,co productions
278,geoscientists,1,13,geo scientists
280,contributing,1,12,contributing
286,homosexuality,2,13,homosexuality
305,hypertension,1,12,hypertension
360,londonfrankfurt,2,15,london frankfurt
361,conferencing,3,12,conferencing
362,dysfunctional,2,13,dysfunctional
374,userfriendly,2,12,user friendly
396,lowprevalence,1,13,low prevalence
411,quickgrowing,1,12,quick growing
430,egyptianborn,1,12,egyptian born
435,oceanography,1,12,oceanography
436,lifeextending,1,13,life extending
496,semimythical,1,12,semi mythical
538,undergraduate,1,13,undergraduate
539,instinctively,3,13,instinctively
560,remotecontrol,1,13,remote control
564,globalisation,7,13,globalisation
577,agricultural,14,12,agricultural
583,revolutionised,2,14,revolutionised
586,costeffective,2,13,cost effective
593,thunderbirds,1,12,thunderbirds
626,redundancies,1,12,redundancies
627,dergarabedian,5,13,dergarabedian
674,dictatorship,1,12,dictatorship
680,selfexpression,2,14,self expression
707,autobiography,3,13,autobiography
712,californiabased,3,15,california based
736,dutchmoroccan,1,13,dutch moroccan
738,selfdeclared,1,12,self declared
745,entrepreneur,8,12,entrepreneur
762,proliferation,3,13,proliferation
823,preclearance,1,12,pre clearance
826,rapidlyrising,1,13,rapidly rising
831,pointtopoint,1,12,point to point
854,resurrection,5,12,resurrection
893,acknowledges,1,12,acknowledges
894,interrupting,1,12,interrupting
900,soulsearching,1,13,soul searching
948,highestranking,3,14,highest ranking
965,euroatlantic,1,12,euro atlantic
990,uninterrupted,1,13,uninterrupted
1022,reproduction,1,12,reproduction
1047,frontbencher,5,12,front ben cher
1117,nonsmartphone,1,13,non smartphone
1138,approximately,4,13,approximately
1139,understandably,4,14,understandably
1186,constructive,8,12,constructive
1221,unmistakable,2,12,unmistakable
1231,nipplebaring,1,12,nipple baring
1235,televentures,1,12,tele ventures
1237,khordokovsky,1,12,khordokovsky
1246,understandable,3,14,understandable
1255,mouldbreaking,1,13,mould breaking
1300,specification,11,13,specification
1301,rusesabagina,3,12,rusesabagina
1304,phonographic,9,12,phonographic
1313,shakespearean,1,13,shakespearean
1325,individuality,1,13,individuality
1347,opportunistic,2,13,opportunistic
1351,enthusiastic,2,12,enthusiastic
1398,colonisation,1,12,colonisation
1413,fossilhunting,1,13,fossil hunting
1458,nielsennetratings,8,17,nielsen net ratings
1497,automatically,25,13,automatically
1501,motioncontrol,1,13,motion control
1509,perpetuating,1,12,perpetuating
1523,choreographer,3,13,choreographer
1556,inexperience,1,12,in experience
1580,hrisanthakis,1,12,hrisanthakis
1581,glenurquhart,1,12,glenurquhart
1587,emphatically,1,12,emphatically
1595,motherboards,2,12,motherboards
1630,underperform,1,12,under perform
1636,degenerative,1,12,degenerative
1658,doubleolympic,1,13,double olympic
1662,leadenfooted,1,12,leaden footed
1667,misjudgement,2,12,misjudgement
1688,surgutneftegas,2,14,surgutneftegas
1702,platespinning,1,13,plate spinning
1703,rechargeable,1,12,rechargeable
1729,infiltration,1,12,infiltration
1731,constituency,25,12,constituency
1748,disappointed,17,12,disappointed
1754,minihydraulic,1,13,mini hydraulic
1758,sowdentaylor,2,12,sowdentaylor
1772,unwillingness,2,13,unwillingness
1773,organisation,99,12,organisation
1795,extortionate,1,12,extortionate
1805,welshenglish,1,12,welsh english
1831,nigerianowned,1,13,nigerian owned
1837,scalprecorded,1,13,scalp recorded
